地铁口 精装 全明通透 高得房率 南北双阳台 换房急售 2室2厅 | 90.76㎡ | 低层 （共11层） | 东南向 | 2009年建 | 孔倩 大地伊丽雅特湾 迈皋桥-和燕路329号 满五 优质教育 距1号线晓庄站约933米 185 万 20383元/㎡
紫金山下 花园城复地御钟山旁 改善 急卖 4室2厅 | 172.88㎡ | 顶层 （共11层） | 南向 | 2018年建 | 张磊 招商紫金山1号 马群-环陵路99号 满二 优质教育 距2号线马群站约109米 600 万 34706元/㎡
特价 仙林 · 学仕风华苑 · 3室 · 2厅 双重验真 官方发布 房天下房源字典核验 3室2厅 | 90.49㎡ | 底层 （共6层） | 南向 | 2009年建 | 孟全 仙林诚品城 仙林-仙境路29号 满五 160 万 17681元/㎡ 低于市场价24万
特价 此房原为结婚而备 为结婚而装 现因离开而售 寻找缘人 4室1厅 | 128.02㎡ | 中层 （共33层） | 南北向 | 2000年建 | 黄朋飞 中海燕矶听潮 燕子矶-燕子矶新城经五路与太新路交汇处 满五 距1号线笆斗山站约1061米 368 万 28745元/㎡ 低于市场价22万
特价 中海燕矶听潮 128.19平4居 南向简装修 拎包入住 4室2厅 | 128.19㎡ | 中层 （共33层） | 南向 | 2021年建 | 黄朋飞 中海燕矶听潮 燕子矶-燕子矶新城经五路与太新路交汇处 满二 距1号线笆斗山站约1061米 368 万 28707元/㎡ 低于市场价26万
拥有华侨城翡翠天域麓园,尽可享受优渥生活! 4室2厅 | 130㎡ | 中层 （共11层） | 南北向 | 2018年建 | 邓婷婷 华侨城翡翠天域 栖霞-工农路与疏港大道交汇处 满五 190 万 14615元/㎡
仙林豪宅大平层全新轻奢风装修 4室2厅 | 195㎡ | 顶层 （共4层） | 南向 | 袁洁 绿城东方玉园 仙林-灵山北路与风华路交汇处(仙林街道大埔塘东侧) 满二 距4号线汇通路站约1022米 1098 万 56307元/㎡
万寿 地铁口 万象天地九悦·东区 精装修 业主诚心出售 3室2厅 | 98.42㎡ | 低层 （共9层） | 南北向 | 2023年建 | 钱俊马 万象天地·九悦 迈皋桥-燕子矶新城栖霞大道与经五路交汇处 距7号线万寿站约557米 340 万 34545元/㎡
特价 仙林 · 三味公寓 · 1室 · 1厅 双重验真 官方发布 房天下房源字典核验 1室1厅 | 54.32㎡ | 高层 （共6层） | 东向 | 2009年建 | 孟全 三味公寓 仙鹤门-仙隐北路2号 满五 101 万 18593元/㎡ 低于市场价25万
尧顺佳园2房 报78万65出 金地广场 地铁口 峯汇中心 2室1厅 | 63㎡ | 高层 （共6层） | 南向 | 吴彩娣 尧顺佳园 尧化-栖霞区金尧路和尧佳路交叉口向北100米 满五 优质教育 距7号线仙新路站约255米 73 万 11587元/㎡
林景瑞园您不二的选择! 3室2厅 | 130.5㎡ | 高层 （共11层） | 南向 | 2000年建 | 夏菊 林景瑞园 迈皋桥-栖霞区和燕路319号 满五 优质教育 距1号线晓庄站约1001米 290 万 22222元/㎡
南大和园次新别墅小区 南大教授区联排中户5套房 +电梯井 独栋 | 卧室：5个 | 花园：85平米 | 364㎡ | 北向 | 袁洁 南大和园 仙林-仙林大道168号 满二 距2号线南大仙林校区站约302米 1300 万 35714元/㎡
仙林湖半山云邸底跃650万精装全新有院子 3室3厅 | 302㎡ | 底层 （共7层） | 南向 | 2021年建 | 袁洁 半山云邸 仙林-半山云邸 满二 879 万 29105元/㎡
晓庄 地铁口 大地伊丽雅特湾3房 精装修 性价比很不错 3室2厅 | 101.66㎡ | 中层 （共10层） | 南北向 | 2013年建 | 钱俊马 大地伊丽雅特湾 迈皋桥-和燕路329号 优质教育 距1号线晓庄站约933米 240 万 23608元/㎡
特价 钟山晶典 ·精装修 满五年 送车位 急卖 双重验真 官方发布 房天下房源字典核验 3室2厅 | 107.13㎡ | 高层 （共15层） | 南北向 | 2007年建 | 李雪 国浩钟山晶典 仙鹤门-金马路19号 满五 距2号线金马路站约683米 234 万 21842元/㎡ 低于市场价28万
马群房主狂甩高品质好房 精装修 天泓山庄竹山苑 2室2厅 | 91.44㎡ | 低层 （共18层） | 南北向 | 2008年建 | 张磊 天泓山庄 马群-环陵路1号 满二 优质教育 距2号线马群站约886米 290 万 31714元/㎡
来电咨询底价!栖霞燕子矶 双地铁口精装三房 龙湖翡翠上城 3室2厅 | 89㎡ | 中层 （共20层） | 南北向 | 2021年建 | 段海伦 翡翠上城 万寿-恒竞路与尧新大道交叉口向南200米 满二 178 万 20000元/㎡
仙林湖 金中金小 精装修现房 万达茂 四号线 省中医院 3室2厅 | 110㎡ | 低层 （共18层） | 南向 | 2019年建 | 王彩丽 中海·观文澜 仙林-中海·观文澜 距4号线仙林湖站约401米 292 万 26545元/㎡
仁恒诚意出售,房子满三年,税费比较少,南通户型 急售急售 3室2厅 | 104.18㎡ | 低层 （共11层） | 南向 | 2022年建 | 孔倩 仁恒公园世纪 燕子矶-燕园路37号 满二 距1号线笆斗山站约634米 369 万 35419元/㎡
人气 新特价现房栖霞区尧化门 南外仙林 仙林湖 欢乐谷 3室2厅 | 89㎡ | 顶层 （共33层） | 南北向 | 2024年建 | 毛国忠 华侨城翡翠天域 栖霞-工农路与疏港大道交汇处 114 万 12808元/㎡
人气 保利国际社区 地铁口 三开间朝南 全明通透 高得房率降价急售 3室2厅 | 88.53㎡ | 高层 （共33层） | 南向 | 2020年建 | 孔倩 保利国际社区 燕子矶-燕子矶街道太新路与燕园路交汇处 满二 距1号线笆斗山站约506米 195 万 22026元/㎡
地铁口 万象旁 精装 全明通透 高得房率 拎包入住急售 4室2厅 | 124.09㎡ | 中层 （共11层） | 南北向 | 2021年建 | 孔倩 万象天地·九悦 迈皋桥-燕子矶新城栖霞大道与经五路交汇处 满二 距7号线万寿站约557米 421 万 33926元/㎡
来电详谈折扣!城北燕子矶新城 双地铁精装三房 龙湖上城 3室2厅 | 89㎡ | 中层 （共20层） | 南北向 | 2021年建 | 段海伦 翡翠上城 万寿-恒竞路与尧新大道交叉口向南200米 178 万 20000元/㎡
特价 仙林 · 咏梅山庄 · 1室 · 1厅 双重验真 官方发布 房天下房源字典核验 1室1厅 | 50.43㎡ | 高层 （共6层） | 南北向 | 2002年建 | 孟全 咏梅山庄 仙林-仙隐北路文苑路2号 满五 优质教育 113 万 22407元/㎡ 低于市场价18万
人气 燕子矶 地铁口 保利社区一期 业主诚心出售 3室2厅 | 115.06㎡ | 高层 （共33层） | 南北向 | 2018年建 | 钱俊马 保利国际社区 燕子矶-燕子矶街道太新路与燕园路交汇处 距1号线笆斗山站约506米 267 万 23205元/㎡
保利朗诗 高科技住宅 恒温 恒湿 恒氧 精装未住 急售急售 4室2厅 | 136.56㎡ | 高层 （共33层） | 南向 | 2020年建 | 孔倩 保利朗诗蔚蓝 迈皋桥-保利朗诗蔚蓝 满二 距1号线晓庄站约582米 359 万 26288元/㎡
特价 仙林湖 · 保利罗兰春天 · 3室 · 2厅 双重验真 官方发布 房天下房源字典核验 3室2厅 | 95.65㎡ | 低层 （共27层） | 南向 | 2015年建 | 孟全 保利罗兰春天 仙林-学森路199号 满五 优质教育 210 万 21955元/㎡ 低于市场价42万
城市绿洲花园婚房,业主,看完房什么都能商量! 3室1厅 | 86.12㎡ | 底层 （共6层） | 南向 | 2000年建 | 黄朋飞 城市绿洲花园 和燕路-栖霞区和燕路440号 满五 优质教育 距1号线吉祥庵站约392米 190 万 22062元/㎡
复地御钟山旁马群招商紫金山1号 豪装大平层 有车位 4室2厅 | 182.72㎡ | 中层 （共9层） | 南向 | 2013年建 | 易功瑞 招商紫金山1号 马群-环陵路99号 满五 满五唯一 优质教育 距2号线马群站约109米 590 万 32289元/㎡
(刚需必选} 内部房源 南京主城栖霞 双地铁口 价格可谈 3室2厅 | 89㎡ | 低层 （共26层） | 南北向 | 2020年建 | 戚亮辉 苏宁世茂·璀璨云著 栖霞-兴智科创新城兴智路与恒久路交汇处 满二 167 万 18764元/㎡
热搜 人气 有家有爱有温馨!温馨!让您享受生活 3室2厅 | 115.01㎡ | 中层 （共20层） | 东北向 | 2000年建 | 王彩丽 金浦御龙湾 迈皋桥-金浦御龙湾 满五 距1号线晓庄站约644米 295 万 25649元/㎡
金陵家天下 中心位置 双拼别墅 大花园 精装修 双重验真 官方发布 房天下房源字典核验 独栋 | 卧室：4个 | 无花园 | 218.17㎡ | 南向 | 孟全 金陵家天下别墅 仙鹤门-栖霞仙林金陵家天下别墅 满五 890 万 40793元/㎡
报价可谈!迈皋桥次新房,锦麟融誉府,精装修,六号线旁 3室2厅 | 98.51㎡ | 中层 （共23层） | 南向 | 2018年建 | 姜成 锦麟融誉府 迈皋桥-北苑东路与熙湲路交汇处 满二 距1号线晓庄站约1109米 299 万 30352元/㎡
仙林 · 高科荣域 · 4室 · 2厅 双重验真 官方发布 房天下房源字典核验 4室2厅 | 134.27㎡ | 中层 （共11层） | 南向 | 2014年建 | 孟全 高科荣域 仙林-仙林大学城文澜路与仙境路交叉口向西100米 满五 415 万 30907元/㎡
大发燕澜湾,成熟小区,人气旺,交通便利!价格可议! 3室2厅 | 138.51㎡ | 高层 （共10层） | 南北向 | 2000年建 | 黄朋飞 大发燕澜湾 燕子矶-和燕路498号(苏果超市和燕路店东南侧) 满五 优质教育 距1号线燕子矶站约373米 355 万 25629元/㎡
来电咨询底价!栖霞燕子矶 双地铁口精装三房 龙湖翡翠上城 3室2厅 | 89㎡ | 中层 （共20层） | 南北向 | 2021年建 | 许金虎 滨江龙湖翡翠上城 万寿-恒竞路与尧新大道交叉口向南200米 满二 178 万 20000元/㎡
星叶瑜憬湾超值 心的港湾在这里 2室1厅 | 91.43㎡ | 低层 （共20层） | 南北向 | 2000年建 | 王彩丽 星叶瑜憬湾 迈皋桥-迈皋桥大街网板路8号(网板路与电建路交汇) 满五 225 万 24608元/㎡
热搜 人气 新湖仙林翠谷银杏街区350万 诚心出 联排 | 卧室：5个 | 花园：150平米 | 251㎡ | 南向 | 袁洁 新湖仙林翠谷别墅 龙潭-栖霞区句容宝华镇 满五 350 万 13944元/㎡
特价 锦麟融誉府,朝向:南北通透,等待了这么久,怎么能错过!!! 3室2厅 | 110.42㎡ | 高层 （共26层） | 南北向 | 2000年建 | 黄朋飞 锦麟融誉府 迈皋桥-北苑东路与熙湲路交汇处 满五 距1号线晓庄站约1109米 365 万 33055元/㎡ 低于市场价28万
特价 仙林 · 香樟园 · 2室 · 2厅 双重验真 官方发布 房天下房源字典核验 2室2厅 | 90.56㎡ | 高层 （共18层） | 南向 | 2007年建 | 孟全 香樟园 仙林-仙林街道杉湖路社区杉湖西路9号 满五 优质教育 距2号线学则路站约1050米 210 万 23189元/㎡ 低于市场价61万
保利紫晶山 2018年精装修 实地看采光好 有南露台 看房方 4室2厅 | 170.08㎡ | 中层 （共6层） | 南北向 | 2012年建 | 易功瑞 保利紫晶山 仙鹤门-栖霞区马群大庄6号 满五 满五唯一 优质教育 距2号线仙鹤门站约444米 500 万 29397元/㎡
满五,交通便利,采光充足,配套齐全地铁口 急售 3室2厅 | 143.96㎡ | 低层 （共29层） | 南北向 | 2020年建 | 孔倩 东方兰园 迈皋桥-经五路6号(经五路与迈化路交汇处) 满二 距7号线万寿站约464米 298 万 20700元/㎡
(刚需必选} 内部房源 南京主城栖霞 双地铁口 价格可谈 3室2厅 | 89㎡ | 低层 （共26层） | 南北向 | 2020年建 | 廖斯敏 苏宁世茂·璀璨云著 栖霞-兴智科创新城兴智路与恒久路交汇处 满二 167 万 18764元/㎡
金中金小 新上房源 新城香悦澜山30万装修 换房急售 2室1厅 | 82.53㎡ | 中层 （共26层） | 南北向 | 2000年建 | 邓婷婷 新城香悦澜山 仙林-仙林经天路与纬地路交汇处 满五 优质教育 距2号线经天路站约1158米 180 万 21810元/㎡
热搜 人气 来电详谈折扣!城北一号线地铁迈皋桥 金浦御龙湾 3室2厅 | 88.97㎡ | 低层 （共24层） | 南向 | 2018年建 | 段海伦 金浦御龙湾 迈皋桥-金浦御龙湾 满二 距1号线晓庄站约644米 210 万 23603元/㎡
人气 天泓山庄竹山苑 不临街 大三房 精装修 业主诚售 3室2厅 | 135.1㎡ | 低层 （共11层） | 南北向 | 2008年建 | 易功瑞 天泓山庄 马群-环陵路1号 满五 满五唯一 优质教育 距2号线马群站约886米 310 万 22945元/㎡
采光遮挡,低楼层,价格有空间,随时看房。急售 3室2厅 | 86.84㎡ | 低层 （共34层） | 南北向 | 2020年建 | 孔倩 金浦紫御东方 晓庄-经五路与太新路交汇处 满二 距1号线笆斗山站约811米 196 万 22570元/㎡
新出特价140平384W,准现房华发四季雅筑 一手房精装 4室2厅 | 140㎡ | 顶层 （共33层） | 南北向 | 2024年建 | 张长伟 华发·四季雅筑 晓庄-栖霞区燕子矶街道壮举路与吉祥街交汇处 距1号线八卦洲大桥南站约1064米 384 万 27428元/㎡
特价 仙林 · 香樟园 · 3室 · 2厅 双重验真 官方发布 房天下房源字典核验 3室2厅 | 109.29㎡ | 中层 （共18层） | 南北向 | 2008年建 | 孟全 香樟园 仙林-仙林街道杉湖路社区杉湖西路9号 满五 优质教育 距2号线学则路站约1050米 300 万 27449元/㎡ 低于市场价31万
特价 人气 仙林湖·新城香悦澜山·3室·2厅 双重验真 官方发布 房天下房源字典核验 3室2厅 | 89.67㎡ | 高层 （共27层） | 南北向 | 2016年建 | 孟全 新城香悦澜山 仙林-仙林经天路与纬地路交汇处 满五 优质教育 距2号线经天路站约1158米 220 万 24534元/㎡ 低于市场价14万
,好选择电建洺悦府南苑,值得拥有 3室2厅 | 89.29㎡ | 中层 （共11层） | 南向 | 2000年建 | 凌晓伟 电建洺悦府 万寿-迈尧路611号(迈尧路与恒竞路交汇处) 满五 216 万 24190元/㎡
仙鹤门 · 保利紫晶山 · 4室 · 2厅 双重验真 官方发布 房天下房源字典核验 4室2厅 | 169.53㎡ | 高层 （共6层） | 南北向 | 2010年建 | 李雪 保利紫晶山 仙鹤门-栖霞区马群大庄6号 满五 优质教育 距2号线仙鹤门站约444米 680 万 40110元/㎡
热搜 仙鹤门 · 世茂招商语山 · 3室 · 2厅 双重验真 官方发布 房天下房源字典核验 3室2厅 | 100.27㎡ | 高层 （共6层） | 南北向 | 2016年建 | 孟全 世茂招商语山 仙鹤门-世茂招商语山 满二 距2号线金马路站约730米 328 万 32711元/㎡
栖霞主城 地铁口精装三房兴智新城新生圩宝龙 紫樾府 苏宁璀璨 3室2厅 | 89㎡ | 中层 （共26层） | 南北向 | 2017年建 | 许金虎 栖霞江悦润府 栖霞-仙新路与栖霞大道交叉口西北 满二 距7号线仙新路站约1173米 206 万 23146元/㎡
燕子矶 近地铁 超值 宁静怡静 2室1厅 | 56.3㎡ | 底层 （共5层） | 南北向 | 1994年建 | 钱俊马 胜利二村 和燕路-迈皋桥胜利二村 优质教育 距1号线燕子矶站约202米 79 万 14031元/㎡
高端科技住宅 一梯一户 迈皋桥 晓庄 保利朗诗蔚蓝 4室2厅 | 168.22㎡ | 低层 （共33层） | 南北向 | 2018年建 | 夏菊 保利朗诗蔚蓝 迈皋桥-保利朗诗蔚蓝 满五 距1号线晓庄站约582米 482 万 28652元/㎡
仁恒公园世纪3房,精装 新空 配套设施齐全,看房方便 3室2厅 | 134.75㎡ | 中层 （共11层） | 南北向 | 2020年建 | 孔倩 仁恒公园世纪 燕子矶-燕园路37号 满二 距1号线笆斗山站约634米 469 万 34805元/㎡
紫园 电梯低密洋房 精装修大平层 中间位置 好楼层 3室2厅 | 138.4㎡ | 高层 （共8层） | 南北向 | 2012年建 | 易功瑞 紫园 马群-栖霞马群环陵路99号 满五 满五唯一 优质教育 距2号线马群站约617米 410 万 29624元/㎡
大地伊丽雅特湾,当居住融入环境,心也随之淡定 2室2厅 | 78.32㎡ | 中层 （共11层） | 南北向 | 2000年建 | 黄朋飞 大地伊丽雅特湾 迈皋桥-和燕路329号 满五 优质教育 距1号线晓庄站约933米 203 万 25919元/㎡
享团购优惠 主城晓庄地铁口 新街口 限时特价房源 豪装 3室2厅 | 89.27㎡ | 中层 （共23层） | 南北向 | 2021年建 | 尹伟 保利·国贸璟上 迈皋桥-南京市栖霞区和燕路与宜春街交汇处 满二 距1号线晓庄站约769米 232 万 25988元/㎡
地铁口 精装 全明通透 高得房率 换房 拎包入住 急售急 3室2厅 | 111.85㎡ | 高层 （共11层） | 南北向 | 2013年建 | 孔倩 大发燕澜湾 燕子矶-和燕路498号(苏果超市和燕路店东南侧) 满五 优质教育 距1号线燕子矶站约373米 255 万 22798元/㎡
仙林湖 地铁口 金地湖城艺境 金中 金小 业主换房 急售 4室1厅 | 136.59㎡ | 低层 （共27层） | 南向 | 2000年建 | 邓婷婷 金地湖城艺境 仙林-栖霞守敬路与纬地路交汇口 满五 优质教育 310 万 22695元/㎡
人气 新上 书包 金中金小 万达茂御湖仕家三期 精装修 急售 3室2厅 | 96.79㎡ | 高层 （共34层） | 南向 | 2000年建 | 邓婷婷 御湖仕家 仙林-仙林大道与守敬路交汇处向东100米 满五 优质教育 距4号线仙林湖站约713米 196 万 20250元/㎡
招商紫金山1号 紫金尚园 中高楼层 精装修 南北通透 业主诚 4室2厅 | 207.43㎡ | 中层 （共10层） | 南北向 | 2015年建 | 易功瑞 招商紫金山1号 马群-环陵路99号 满五 满五唯一 优质教育 距2号线马群站约109米 580 万 27961元/㎡
送产权车位 电梯小高层 双地铁 紫金铭苑 3室1厅 | 89.62㎡ | 低层 （共8层） | 南北向 | 2018年建 | 夏菊 紫金铭苑 迈皋桥-幕府东路与和燕路交汇处 满五 距7号线幕府山站约1146米 205 万 22874元/㎡
仁恒公园世纪 电梯小洋房 迈皋桥 燕子矶 3室2厅 | 104.18㎡ | 底层 （共11层） | 南向 | 2020年建 | 夏菊 仁恒公园世纪 燕子矶-燕园路37号 满二 距1号线笆斗山站约634米 390 万 37435元/㎡
